DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2022-08-12,Spain,La Liga,LEAGUE,2022/2023,Osasuna,Sevilla,H,2,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,12,5,7,34,5,16,5,0,9,4,5,66,2,9,3,0
2022-08-13,Spain,La Liga,LEAGUE,2022/2023,Celta de Vigo,Espanyol,D,2,2,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,8,3,5,60,3,17,5,0,14,2,12,40,3,15,2,0
2022-08-13,Spain,La Liga,LEAGUE,2022/2023,FC Barcelona,Rayo Vallecano,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,23,6,17,68,8,16,3,1,5,2,3,32,0,14,6,0
2022-08-13,Spain,La Liga,LEAGUE,2022/2023,Real Valladolid,Villarreal,A,0,3,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,12,6,6,52,4,6,1,0,11,4,7,48,5,10,0,0
2022-08-14,Spain,La Liga,LEAGUE,2022/2023,Valencia,Girona,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,16,3,13,46,4,18,2,1,5,1,4,54,4,14,3,0
2022-08-14,Spain,La Liga,LEAGUE,2022/2023,Almería,Real Madrid,A,1,2,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,10,6,4,33,2,11,3,0,29,15,14,67,15,4,1,0
2022-08-14,Spain,La Liga,LEAGUE,2022/2023,Cádiz,Real Sociedad,A,0,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,8,2,6,40,3,9,4,0,15,7,8,60,6,20,2,0
2022-08-15,Spain,La Liga,LEAGUE,2022/2023,Real Betis,Elche,H,3,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,18,9,9,72,8,10,3,0,4,1,3,28,4,18,6,1
2022-08-15,Spain,La Liga,LEAGUE,2022/2023,Getafe,Atlético Madrid,A,0,3,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,10,1,9,42,3,14,2,0,13,6,7,58,6,19,1,0
2022-08-15,Spain,La Liga,LEAGUE,2022/2023,Athletic Club,Mallorca,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,23,6,17,64,7,1,0,0,6,2,4,36,2,0,6,0
2022-08-19,Spain,La Liga,LEAGUE,2022/2023,Sevilla,Real Valladolid,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,21,2,19,61,12,20,3,1,6,3,3,39,2,10,2,1
2022-08-19,Spain,La Liga,LEAGUE,2022/2023,Espanyol,Rayo Vallecano,A,0,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,13,1,12,54,9,12,2,1,8,3,5,46,2,17,5,1
2022-08-20,Spain,La Liga,LEAGUE,2022/2023,Celta de Vigo,Real Madrid,A,1,4,A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,15,2,13,51,2,12,2,0,16,6,10,49,2,8,2,0
2022-08-20,Spain,La Liga,LEAGUE,2022/2023,Osasuna,Cádiz,H,2,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,17,4,13,56,2,11,2,0,10,2,8,44,2,13,5,1
2022-08-20,Spain,La Liga,LEAGUE,2022/2023,Mallorca,Real Betis,A,1,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,12,4,8,47,5,22,7,0,8,3,5,53,2,17,8,0
2022-08-21,Spain,La Liga,LEAGUE,2022/2023,Real Sociedad,FC Barcelona,A,1,4,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,11,6,5,41,3,15,2,0,15,7,8,59,6,9,1,0
2022-08-21,Spain,La Liga,LEAGUE,2022/2023,Athletic Club,Valencia,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,15,4,11,37,6,11,5,0,10,1,9,63,3,15,2,0
2022-08-21,Spain,La Liga,LEAGUE,2022/2023,Atlético Madrid,Villarreal,A,0,2,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,15,7,8,50,5,8,2,1,18,6,12,50,6,11,3,0
2022-08-22,Spain,La Liga,LEAGUE,2022/2023,Elche,Almería,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,14,1,13,55,6,12,1,0,12,7,5,45,5,16,4,1
2022-08-22,Spain,La Liga,LEAGUE,2022/2023,Girona,Getafe,H,3,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,14,6,8,67,5,16,2,0,8,4,4,33,2,18,6,1
2022-08-26,Spain,La Liga,LEAGUE,2022/2023,Girona,Celta de Vigo,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,9,3,6,54,2,16,2,0,9,6,3,46,4,13,1,0
2022-08-26,Spain,La Liga,LEAGUE,2022/2023,Real Betis,Osasuna,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,8,1,7,55,2,9,0,1,11,3,8,45,4,21,3,0
2022-08-27,Spain,La Liga,LEAGUE,2022/2023,Elche,Real Sociedad,A,0,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,11,4,7,45,4,14,3,0,10,3,7,55,6,18,3,0
2022-08-27,Spain,La Liga,LEAGUE,2022/2023,Almería,Sevilla,H,2,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,13,5,8,32,5,18,5,0,14,6,8,68,2,11,8,0
2022-08-27,Spain,La Liga,LEAGUE,2022/2023,Rayo Vallecano,Mallorca,A,0,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,15,0,15,65,7,11,1,0,10,5,5,35,3,18,3,0
2022-08-28,Spain,La Liga,LEAGUE,2022/2023,Getafe,Villarreal,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,8,2,6,35,1,11,1,0,11,6,5,65,4,19,5,0
2022-08-28,Spain,La Liga,LEAGUE,2022/2023,Espanyol,Real Madrid,A,1,3,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,14,3,11,36,7,15,0,1,21,8,13,64,7,12,0,0
2022-08-28,Spain,La Liga,LEAGUE,2022/2023,FC Barcelona,Real Valladolid,H,4,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,24,8,16,68,14,9,1,0,7,2,5,32,4,8,2,0
2022-08-29,Spain,La Liga,LEAGUE,2022/2023,Valencia,Atlético Madrid,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,13,3,10,71,6,15,4,0,15,10,5,29,2,17,3,0
2022-08-29,Spain,La Liga,LEAGUE,2022/2023,Cádiz,Athletic Club,A,0,4,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,9,3,6,37,0,18,2,0,22,11,11,63,6,4,1,0
2022-09-02,Spain,La Liga,LEAGUE,2022/2023,Celta de Vigo,Cádiz,H,3,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,9,5,4,58,2,13,1,0,6,0,6,42,2,23,2,0
2022-09-03,Spain,La Liga,LEAGUE,2022/2023,Sevilla,FC Barcelona,A,0,3,A,0,2,N/A,N/A,N/A,N/A,N/A,N/A,16,6,10,46,4,15,2,0,18,6,12,54,4,14,4,0
2022-09-03,Spain,La Liga,LEAGUE,2022/2023,Real Madrid,Real Betis,H,2,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,21,5,16,50,9,8,0,0,9,4,5,50,2,12,1,0
2022-09-03,Spain,La Liga,LEAGUE,2022/2023,Mallorca,Girona,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,11,5,6,52,6,23,4,0,11,4,7,48,3,9,2,0
2022-09-03,Spain,La Liga,LEAGUE,2022/2023,Real Sociedad,Atlético Madrid,D,1,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,12,7,5,55,7,18,5,0,18,9,9,45,6,13,4,0
2022-09-04,Spain,La Liga,LEAGUE,2022/2023,Osasuna,Rayo Vallecano,H,2,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,16,7,9,46,4,14,2,0,5,3,2,54,0,16,2,0
2022-09-04,Spain,La Liga,LEAGUE,2022/2023,Villarreal,Elche,H,4,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,18,10,8,53,6,10,1,0,6,0,6,47,4,9,3,0
2022-09-04,Spain,La Liga,LEAGUE,2022/2023,Athletic Club,Espanyol,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,17,3,14,67,4,12,3,0,10,3,7,33,2,12,2,0
2022-09-04,Spain,La Liga,LEAGUE,2022/2023,Valencia,Getafe,H,5,1,H,3,0,N/A,N/A,N/A,N/A,N/A,N/A,25,9,16,70,9,11,3,1,7,4,3,30,1,22,6,1
2022-09-05,Spain,La Liga,LEAGUE,2022/2023,Real Valladolid,Almería,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,7,2,5,52,2,11,1,0,2,0,2,48,8,19,6,0
2022-09-09,Spain,La Liga,LEAGUE,2022/2023,Girona,Real Valladolid,H,2,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,14,5,9,45,3,11,0,0,13,4,9,55,12,15,2,0
2022-09-10,Spain,La Liga,LEAGUE,2022/2023,Atlético Madrid,Celta de Vigo,H,4,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,13,6,7,46,4,11,2,0,15,2,13,54,7,6,3,0
2022-09-10,Spain,La Liga,LEAGUE,2022/2023,Rayo Vallecano,Valencia,H,2,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,15,7,8,46,7,22,5,0,16,4,12,54,7,11,2,0
2022-09-10,Spain,La Liga,LEAGUE,2022/2023,Cádiz,FC Barcelona,A,0,4,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,6,1,5,30,5,12,0,0,17,8,9,70,6,13,3,0
2022-09-10,Spain,La Liga,LEAGUE,2022/2023,Espanyol,Sevilla,A,2,3,A,1,3,N/A,N/A,N/A,N/A,N/A,N/A,20,4,16,59,9,11,3,0,10,6,4,41,3,14,5,1
2022-09-11,Spain,La Liga,LEAGUE,2022/2023,Elche,Athletic Club,A,1,4,A,0,4,N/A,N/A,N/A,N/A,N/A,N/A,8,2,6,47,5,15,3,0,17,9,8,53,5,9,0,0
2022-09-11,Spain,La Liga,LEAGUE,2022/2023,Getafe,Real Sociedad,H,2,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,8,3,5,33,3,9,4,0,14,5,9,67,7,16,1,0
2022-09-11,Spain,La Liga,LEAGUE,2022/2023,Real Madrid,Mallorca,H,4,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,22,7,15,68,4,7,3,0,5,2,3,32,3,15,5,0
2022-09-11,Spain,La Liga,LEAGUE,2022/2023,Real Betis,Villarreal,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,13,6,7,47,9,11,1,0,13,5,8,53,8,14,1,0
2022-09-12,Spain,La Liga,LEAGUE,2022/2023,Almería,Osasuna,A,0,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,7,2,5,61,5,4,0,0,15,5,10,39,10,9,2,0
2022-09-16,Spain,La Liga,LEAGUE,2022/2023,Real Valladolid,Cádiz,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,19,5,14,58,8,12,1,0,8,2,6,42,2,19,4,0
2022-09-17,Spain,La Liga,LEAGUE,2022/2023,Athletic Club,Rayo Vallecano,H,3,2,H,3,1,N/A,N/A,N/A,N/A,N/A,N/A,16,10,6,39,2,13,1,0,13,5,8,61,7,13,2,0
2022-09-17,Spain,La Liga,LEAGUE,2022/2023,Mallorca,Almería,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,5,2,3,45,5,15,3,0,10,2,8,55,2,14,6,0
2022-09-17,Spain,La Liga,LEAGUE,2022/2023,FC Barcelona,Elche,H,3,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,26,10,16,77,6,11,2,0,1,1,0,23,0,9,2,1
2022-09-17,Spain,La Liga,LEAGUE,2022/2023,Valencia,Celta de Vigo,H,3,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,11,5,6,66,5,18,3,0,7,2,5,34,4,23,2,1
2022-09-18,Spain,La Liga,LEAGUE,2022/2023,Villarreal,Sevilla,D,1,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,16,5,11,46,6,15,1,0,12,1,11,54,4,12,5,0
2022-09-18,Spain,La Liga,LEAGUE,2022/2023,Real Sociedad,Espanyol,H,2,1,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,13,6,7,63,4,18,3,0,13,4,9,37,2,8,0,0
2022-09-18,Spain,La Liga,LEAGUE,2022/2023,Osasuna,Getafe,A,0,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,11,4,7,56,8,15,7,1,9,4,5,44,1,15,3,1
2022-09-18,Spain,La Liga,LEAGUE,2022/2023,Real Betis,Girona,H,2,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,9,3,6,44,2,9,0,0,9,5,4,56,4,8,3,0
2022-09-18,Spain,La Liga,LEAGUE,2022/2023,Atlético Madrid,Real Madrid,A,1,2,A,0,2,N/A,N/A,N/A,N/A,N/A,N/A,13,4,9,53,8,15,4,1,5,2,3,47,1,16,2,0
2022-09-30,Spain,La Liga,LEAGUE,2022/2023,Athletic Club,Almería,H,4,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,20,7,13,59,11,17,1,0,9,3,6,41,2,8,3,0
2022-10-01,Spain,La Liga,LEAGUE,2022/2023,Getafe,Real Valladolid,A,2,3,D,2,2,N/A,N/A,N/A,N/A,N/A,N/A,13,5,8,44,4,23,2,0,13,6,7,56,2,13,5,0
2022-10-01,Spain,La Liga,LEAGUE,2022/2023,Sevilla,Atlético Madrid,A,0,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,13,3,10,61,5,9,3,0,20,6,14,39,7,12,2,0
2022-10-01,Spain,La Liga,LEAGUE,2022/2023,Mallorca,FC Barcelona,A,0,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,14,2,12,28,5,9,2,0,11,3,8,72,5,13,4,0
2022-10-01,Spain,La Liga,LEAGUE,2022/2023,Cádiz,Villarreal,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,10,2,8,40,6,13,2,1,15,5,10,60,5,8,3,0
2022-10-02,Spain,La Liga,LEAGUE,2022/2023,Real Madrid,Osasuna,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,24,6,18,64,10,9,1,0,8,2,6,36,2,13,2,1
2022-10-02,Spain,La Liga,LEAGUE,2022/2023,Girona,Real Sociedad,A,3,5,D,2,2,N/A,N/A,N/A,N/A,N/A,N/A,15,7,8,40,2,9,3,0,12,7,5,60,2,19,1,0
2022-10-02,Spain,La Liga,LEAGUE,2022/2023,Espanyol,Valencia,D,2,2,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,10,5,5,38,6,16,2,1,13,4,9,62,4,15,1,1
2022-10-02,Spain,La Liga,LEAGUE,2022/2023,Celta de Vigo,Real Betis,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,11,5,6,46,5,26,4,0,10,5,5,54,3,3,3,1
